Title,Price,Available_Colors,Available_Size,Item_Context,Url
Cotton T-shirt Regular Fit,299,Light blue,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-cotton-t-shirt-regular-fit-light-blue-0.html
Loose Fit Hoodie,1099,Light pink,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-loose-fit-hoodie-light-pink.html
Relaxed Fit Overshirt,1999,Black/Brown checked,"S,M,L,XL",None,https://eg.hm.com/en/buy-relaxed-fit-overshirt-black-brown-checked.html
Oversized Fit hoodie,1499,Light greige,"XS,S,L,XL,XXL",None,https://eg.hm.com/en/buy-oversized-fit-hoodie-light-greige.html
Hooded top,1699,Dark purple/Rick and Morty,"XS,M,L,XL",Casual,https://eg.hm.com/en/buy-hooded-top-dark-purple-rick-and-morty.html
Oversized Fit Zip-through hoodie,1199,Dark blue,"XS,S,XL,XXL",None,https://eg.hm.com/en/buy-oversized-fit-zip-through-hoodie.html
Bootcut Loose Jeans,2999,Denim blue,"32/32,36/32",Casual,https://eg.hm.com/en/buy-bootcut-loose-jeans-denim-blue.html
3-pack Regular Fit T-shirts,749,Burgundy/Blue/Orange,L,None,https://eg.hm.com/en/buy-3-pack-regular-fit-t-shirts.html
Regular Fit Cargo trousers,2499,Beige,"XS,S,M",None,https://eg.hm.com/en/buy-regular-fit-cargo-trousers-beige.html
Loose Fit Appliquéd shirt,1699,Black/Looney Tunes,"S,M,L,XL",None,https://eg.hm.com/en/buy-loose-fit-appliqued-shirt-black-looney-tunes.html
Regular Fit Shacket,3299,Turquoise/Checked,"S,L,XL",None,https://eg.hm.com/en/buy-regular-fit-shacket-turquoise-checked.html
Relaxed Fit Corduroy shirt,899,Dark green,"XS,M,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-corduroy-shirt-dark-green.html
Checked pyjama bottoms,899,Black/White checked,"M,L,XL",None,https://eg.hm.com/en/buy-checked-pyjama-bottoms-black-white-checked.html
Regular Fit Printed hoodie,1099,Light beige,"S,L",None,https://eg.hm.com/en/buy-regular-fit-printed-hoodie.html
Relaxed Fit Corduroy shirt,1099,Light greige,"S,M,L",None,https://eg.hm.com/en/buy-relaxed-fit-corduroy-shirt-light-greige.html
Relaxed Fit Printed jersey top,999,Beige/Snoopy,"S,M,L,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-printed-jersey-top-beige-snoopy.html
Oversized Fit Half-zip sweatshirt,999,Light beige,M,Casual,https://eg.hm.com/en/buy-oversized-fit-half-zip-sweatshirt-light-beige.html
Loose Fit Sweatshirt,1499,Black/Worldwide,"XS,S,M",None,https://eg.hm.com/en/buy-loose-fit-sweatshirt-black-worldwide.html
Loose Fit Zip-through hoodie,1499,White/Flower,M,None,https://eg.hm.com/en/buy-loose-fit-zip-through-hoodie-white-flower.html
Regular Fit Denim shirt,1999,Black,"XS,S,M,L,XL",Casual,https://eg.hm.com/en/buy-regular-fit-denim-shirt-black.html
DryMove™ Printed sports T-shirt,799,Black,L,None,https://eg.hm.com/en/buy-drymovetm-printed-sports-t-shirt-black-0.html
DryMove™ Zip-top sports top,999,Dark khaki green,"M,L",None,https://eg.hm.com/en/buy-drymovetm-zip-top-sports-top-dark-khaki-green.html
Regular Fit Cargo trousers,1499,Dark grey,M,None,https://eg.hm.com/en/buy-regular-fit-cargo-trousers-dark-grey.html
Oversized Fit Short-sleeved rugby shirt,649,Orange/Block-coloured,L,None,https://eg.hm.com/en/buy-oversized-fit-short-sleeved-rugby-shirt-orange-block-coloured.html
Pyjama bottoms,799,Blue/Checked,"S,M,L,XL",None,https://eg.hm.com/en/buy-pyjama-bottoms-0.html
DryMove™ Sports joggers,2199,Black,"M,L,XL",None,https://eg.hm.com/en/buy-drymovetm-sports-joggers-black-1.html
Regular Fit Muslin resort shirt,999,Black,"S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-regular-fit-muslin-resort-shirt-black.html
Regular Fit Linen-blend shirt,1199,Light yellow/White striped,"XS,M,L,XL",Casual,https://eg.hm.com/en/buy-regular-fit-linen-blend-shirt-light-yellow-white-striped.html
Regular Fit Muslin resort shirt,999,Cream,"S,M,L",None,https://eg.hm.com/en/buy-regular-fit-muslin-resort-shirt-cream.html
Relaxed Fit Tailored trousers,2199,Dark grey,"28,029,30,031,32,33,34,36",None,https://eg.hm.com/en/buy-relaxed-fit-tailored-trousers-dark-grey.html
Regular Fit Corduroy trousers,2499,Sage green,"029,30,031,32,34,36",None,https://eg.hm.com/en/buy-regular-fit-corduroy-trousers-sage-green.html
Skinny Fit Cargo trousers,2199,Black,"XS,S",None,https://eg.hm.com/en/buy-skinny-fit-cargo-trousers-black.html
Regular Fit Muslin resort shirt,899,Brown,"XS,S,M,XL,XXL",None,https://eg.hm.com/en/buy-regular-fit-muslin-resort-shirt-brown.html
Regular Fit Cropped trousers,1699,Beige,"29,30,32,33",None,https://eg.hm.com/en/buy-regular-fit-cropped-trousers-beige.html
DryMove™ Zip-through sports hoodie,2799,Dark grey/Block-coloured,"S,M,XL",None,https://eg.hm.com/en/buy-drymovetm-zip-through-sports-hoodie-dark-grey-block-coloured.html
Regular Fit Muslin resort shirt,999,Beige,"XL,XXL",None,https://eg.hm.com/en/buy-regular-fit-muslin-resort-shirt-beige.html
Relaxed Fit Corduroy shirt,1099,Dark brown,L,None,https://eg.hm.com/en/buy-relaxed-fit-corduroy-shirt-dark-brown.html
Slim Fit Nylon cargo joggers,2199,Black,"XS,S,M,L",None,https://eg.hm.com/en/buy-slim-fit-nylon-cargo-joggers-black.html
Regular Fit Wool jumper,2799,Dark blue,"M,XL,XXL",None,https://eg.hm.com/en/buy-regular-fit-wool-jumper-dark-blue.html
Regular Fit Cable-knit jumper,1999,Dark yellow,"S,M",None,https://eg.hm.com/en/buy-regular-fit-cable-knit-jumper-dark-yellow.html
Relaxed Fit Linen-blend trousers,1699,Black,34,Casual,https://eg.hm.com/en/buy-relaxed-fit-linen-blend-trousers-black.html
Relaxed Fit Zip-top sweatshirt,1499,Green,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-zip-top-sweatshirt-green.html
Relaxed Fit Hoodie,1699,Brown/Landscape,"XS,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-hoodie-brown-landscape.html
Regular Fit Ripstop cargo trousers,2499,Dark khaki green,"XS,S,M,L",None,https://eg.hm.com/en/buy-regular-fit-ripstop-cargo-trousers-dark-khaki-green.html
Loose Fit Zip-top sweatshirt,1699,Dark green,"S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-loose-fit-zip-top-sweatshirt-dark-green.html
Regular Fit Wool jumper,2799,Dark beige,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-wool-jumper-dark-beige.html
DryMove™ Half-zip sweatshirt,1699,Black,"S,M,L,XL",None,https://eg.hm.com/en/buy-drymovetm-half-zip-sweatshirt-black.html
Relaxed Fit Hoodie,1199,Brown/Trees,M,None,https://eg.hm.com/en/buy-relaxed-fit-hoodie-brown-trees.html
Regular Fit Wool jumper,2799,Dark brown,XL,Casual,https://eg.hm.com/en/buy-regular-fit-wool-jumper-dark-brown.html
DryMove™ Sports joggers,1699,Grey marl,"S,M,L,XL",None,https://eg.hm.com/en/buy-drymovetm-sports-joggers-grey-marl.html
Slim Jeans,2499,Denim blue,"28/30,29/32,30/30,32/30,32/32,32/34,34/30,34/32,34/34",Casual,https://eg.hm.com/en/buy-slim-jeans-denim-blue-0.html
