Title,Price,Available_Colors,Available_Size,Item_Context,Url
DryMove™ Zip-through sports hoodie,2799,Light grey marl,"M,L,XL",None,https://eg.hm.com/en/buy-drymovetm-zip-through-sports-hoodie-light-grey-marl.html
ThermoMove™ Hybrid jacket,3299,Dark khaki green,"S,M,XL",None,https://eg.hm.com/en/buy-thermomovetm-hybrid-jacket-dark-khaki-green.html
DryMove™ Printed sports T-shirt,749,Black,"S,L",None,https://eg.hm.com/en/buy-drymovetm-printed-sports-t-shirt-black.html
DryMove™ Zip-through sports hoodie,2799,Black,"S,M,L,XL",None,https://eg.hm.com/en/buy-drymovetm-zip-through-sports-hoodie-black.html
DryMove™ Zip-through sports hoodie,2799,Dark red/Block-coloured,"S,M,XL",Sport,https://eg.hm.com/en/buy-drymovetm-zip-through-sports-hoodie-dark-red-block-coloured.html
DryMove™ Sports top,699,Red,"S,M",None,https://eg.hm.com/en/buy-drymovetm-sports-top-red.html
DryMove™ Sports hoodie,2499,Navy blue,"S,M,L,XL",None,https://eg.hm.com/en/buy-drymovetm-sports-hoodie-navy-blue.html
DryMove™ Sports top,699,Navy blue,S,None,https://eg.hm.com/en/buy-drymovetm-sports-top-navy-blue.html
Regular Fit Running top,799,Dark khaki green,"S,M,L,XL",Sport,https://eg.hm.com/en/buy-regular-fit-running-top-dark-khaki-green.html
2-pack Long Fit T-shirts,749,Brown/Blue,"XS,S,XXL",None,https://eg.hm.com/en/buy-2-pack-long-fit-t-shirts-brown-blue.html
Relaxed Fit Sweatshirt,699,Light grey marl,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-light-grey-marl-0.html
DryMove™ Sports shorts,799,Black,"S,M,L,XL",Sport,https://eg.hm.com/en/buy-drymovetm-sports-shorts-black-2.html
DryMove™ Sports shorts,1099,Grey/Light green,"S,L",None,https://eg.hm.com/en/buy-drymovetm-sports-shorts-grey-light-green.html
Oversized Fit Cotton T-shirt,749,Light beige,"S,M",Casual,https://eg.hm.com/en/buy-oversized-fit-cotton-t-shirt-light-beige.html
Regular Fit Nylon cargo shorts,1099,Black,"XS,L,XL",Casual,https://eg.hm.com/en/buy-regular-fit-nylon-cargo-shorts-black.html
Cotton jersey pyjamas,799,Grey marl,M,None,https://eg.hm.com/en/buy-cotton-jersey-pyjamas-grey-marl.html
Relaxed Fit Cotton T-shirt,499,Light brown/Talk to Me,XS,Casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-light-brown-talk-me.html
Essentials No 6: THE SHIRT,600,White,"XS,S,M,L,XL",Office wear,https://eg.hm.com/en/buy-essentials-no-6-shirt-white-0.html
Sports jacket in DryMove™,1499,Black,"XS,S,M,L,XL,XXL",Sport,https://eg.hm.com/en/buy-sports-jacket-drymovetm-black.html
Relaxed Fit Flannel shirt,449,None,None,None,https://eg.hm.com/en/buy-relaxed-fit-flannel-shirt-beige-black.html
Slim Fit Easy-iron shirt,899,Burgundy,"XS,S,M,L,XL,XXL",Casual,https://eg.hm.com/en/buy-slim-fit-easy-iron-shirt-burgundy.html
Wool-blend base layer top,1199,Black/Light blue,"S,L,XL,XXL",Sport,https://eg.hm.com/en/buy-wool-blend-base-layer-top-black-light-blue.html
Regular Fit Twill cargo trousers,500,Black,XS,Casual,https://eg.hm.com/en/buy-regular-fit-twill-cargo-trousers-black.html
COOLMAX® Regular Fit Shirt,2199,Black,"XS,L,XL,XXL",Work,https://eg.hm.com/en/buy-coolmaxr-regular-fit-shirt-black.html
10-pack cotton mid trunks,2999,Black,"S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-10-pack-cotton-mid-trunks-black.html
Regular Fit Running top,649,Black,"XS,S,M,L,XL",Sport,https://eg.hm.com/en/buy-regular-fit-running-top-black.html
Cargo joggers,1199,Black,"XS,S,M,L,XL,XXL",Casual,https://eg.hm.com/en/buy-cargo-joggers-black.html
